OBJECTID,location,median,median_white,median_white_only,median_hispanic,median_black_only,median_asian,median_native,median_native_islander,median_other,median_two_or_more,All_Crime,Violent_Crime,Murder_and_Nonnegligent_Manslaughter,Rape,Robbery,Aggravated_Assault,Property_Crime,Burglary,Larceny_theft,Motor_Vehicle_Theft,Arson,Metropolitan_Nonmetropolitan,crime_majority,pct_violent,pct_murder,pct_rape,pct_robbery,pct_assault,pct_property,pct_burglary,pct_larceny,pct_vehicle,pct_arson,majority_race,population,population_white,population_white_only,population_hispanic,population_black,population_asian,population_native,population_native_islander,population_other,population_two_or_more,male_population,population_white_male,population_white_only_male,population_hispanic_male,population_black_male,population_asian_male,population_native_male,population_native_islander_male,population_other_male,population_two_or_more_male,female_population,population_white_female,population_white_only_female,population_hispanic_female,population_black_female,population_asian_female,population_native_female,population_native_islander_female,population_other_female,population_two_or_more_female,pct_white,pct_white_only,pct_hispanic,pct_black,pct_asian,pct_native,pct_native_islander,pct_other,pct_two_or_more,Shape_Length,Shape_Area,GEOIDFQ
1,"Kiowa County, Oklahoma",42063,44540,48242,26154,23333,0,0,0,28125,36250,28,2,0,0,0,2,12,2,7,3,0,Nonmetropolitan County,Property Crimes,7.142857143,0,0,0,7.142857143,42.85714286,7.142857143,25,10.71428571,0,White,8458,6858,6146,999,284,14,356,0,130,816,4058,3340,3041,456,123,2,171,0,76,346,4400,3518,3105,543,161,12,185,0,54,470,81.08299834,72.66493261,11.81130291,3.357767794,0.165523764,4.209032868,0,1.537006384,9.647670844,3.160892886,0.263308315,0500000US40075
2,"Lake County, South Dakota",73792,74129,75028,0,0,0,0,0,0,0,32,5,0,3,0,2,11,2,9,0,0,Nonmetropolitan County,Property Crimes,15.625,0,9.375,0,6.25,34.375,6.25,28.125,0,0,White,11052,10175,9915,560,55,65,265,6,213,273,5807,5309,5188,326,55,0,127,6,184,126,5245,4866,4727,234,0,65,138,0,29,147,92.06478465,89.71226927,5.066956207,0.497647485,0.588128845,2.397756062,0.054288817,1.927252986,2.470141151,1.655696801,0.167216084,0500000US46079
3,"Caswell County, North Carolina",59407,59709,59801,105446,56133,0,0,0,133510,64712,142,20,1,6,1,12,51,12,31,8,0,Nonmetropolitan County,Property Crimes,14.08450704,0.704225352,4.225352113,0.704225352,8.450704225,35.91549296,8.450704225,21.83098592,5.633802817,0,White,22689,13671,13543,1102,7138,97,19,0,425,1339,11797,6976,6888,602,3751,74,2,0,255,739,10892,6695,6655,500,3387,23,17,0,170,600,60.25386751,59.68971748,4.856979153,31.46017894,0.427519944,0.08374102,0,1.873154392,5.90153819,1.345598259,0.111533239,0500000US37033
4,"Presidio County, Texas",29014,28507,35389,22693,0,0,0,0,0,41987,0,0,0,0,0,0,0,0,0,0,0,Nonmetropolitan County,Violent Crimes,,,,,,,,,,,Hispanic/Latino,6043,2231,1171,4622,65,1,150,0,123,3473,3129,1125,587,2393,65,0,117,0,123,1699,2914,1106,584,2229,0,1,33,0,0,1774,36.91874897,19.37779249,76.48518948,1.07562469,0.016548072,2.482210822,0,2.035412874,57.47145458,5.366269138,0.933733687,0500000US48377
5,"Greene County, Ohio",85218,87013,86751,99265,64250,138889,85536,0,64000,75653,619,24,0,9,1,14,282,39,198,45,7,Metropolitan County,Property Crimes,3.877221325,0,1.453957997,0.161550889,2.261712439,45.55735057,6.300484653,31.98707593,7.269789984,1.13085622,White,168531,139641,137754,5418,9916,4797,266,226,1889,11796,83666,69491,68566,2783,4697,2159,149,50,964,6156,84865,70150,69188,2635,5219,2638,117,176,925,5640,82.85775317,81.73807786,3.214838813,5.883783992,2.84636061,0.157834464,0.134099958,1.120862037,6.999305766,1.448059834,0.113201985,0500000US39057
6,"Willacy County, Texas",45645,47762,71411,42561,0,0,0,0,76667,40940,146,22,0,2,0,20,50,19,22,9,2,Nonmetropolitan County,Property Crimes,15.06849315,0,1.369863014,0,13.69863014,34.24657534,13.01369863,15.06849315,6.164383562,1.369863014,Hispanic/Latino,20218,11486,2118,17623,293,0,25,0,980,7434,10941,6246,1124,9479,291,0,25,0,545,3834,9277,5240,994,8144,2,0,0,0,435,3600,56.81076269,10.47581363,87.16490256,1.44920368,0,0.123652191,0,4.847165892,36.76921555,2.2281334,0.183983355,0500000US48489
7,"Bayamón Municipio, Puerto Rico",30729,33819,26607,30688,32350,0,0,0,31488,28256,,,,,,,,,,,,,,,,,,,,,,,,Hispanic/Latino,183456,45010,951,181360,10021,400,212,10,61177,66626,85774,21128,469,84716,5031,209,115,0,28388,30903,97682,23882,482,96644,4990,191,97,10,32789,35723,24.53449328,0.518380429,98.85749171,5.462345194,0.218035932,0.115559044,0.005450898,33.34696058,36.31715507,0.586535737,0.009865342,0500000US72021
8,"Los Alamos County, New Mexico",143188,152725,153739,91912,250000,126917,152143,0,66618,134792,,,,,,,,,,,,,,,,,,,,,,,,White,19374,14782,13614,3465,233,964,169,0,1074,2152,9990,7897,7137,1679,81,496,72,0,415,1029,9384,6885,6477,1786,152,468,97,0,659,1123,76.29813152,70.26943326,17.88479405,1.202642717,4.975740683,0.872303087,0,5.543511923,11.10767007,0.961865432,0.028224956,0500000US35028
9,"Choctaw County, Oklahoma",45456,46915,46970,45313,28991,0,61875,0,83750,40132,158,18,1,3,1,13,59,24,22,13,4,Nonmetropolitan County,Property Crimes,11.39240506,0.632911392,1.898734177,0.632911392,8.227848101,37.34177215,15.18987342,13.92405063,8.227848101,2.53164557,White,14299,8501,8351,681,1352,97,2177,12,259,1901,6900,4021,3950,396,644,50,1069,1,128,987,7399,4480,4401,285,708,47,1108,11,131,914,59.45170991,58.4026855,4.762570809,9.455206658,0.678369117,15.2248409,0.083921953,1.811315477,13.29463599,2.602789392,0.202135891,0500000US40023
10,"Dickinson County, Kansas",67982,69572,69125,92333,0,0,33667,0,0,44183,76,6,0,1,0,5,32,6,22,4,0,Nonmetropolitan County,Property Crimes,7.894736842,0,1.315789474,0,6.578947368,42.10526316,7.894736842,28.94736842,5.263157895,0,White,18423,16916,16396,998,51,60,70,0,251,1075,9212,8476,8212,540,33,40,32,0,131,500,9211,8440,8184,458,18,20,38,0,120,575,91.8200076,88.99744884,5.417141616,0.276827878,0.325679857,0.379959833,0,1.362427401,5.835097433,2.083002122,0.229019721,0500000US20041
